Country,ISO-3,Income group,Development category,Least Developed Countries,UN region,Commodity,total metric tons
Afghanistan,AFG,low-income,developing,LDC,Asia-Pacific,Wheat,"130,869"
Algeria,DZA,lower-middle income,developing,non-LDC,Africa,Wheat,"212,220"
Bangladesh,BGD,lower-middle income,developing,LDC,Asia-Pacific,Wheat,"1,067,392"
Belgium,BEL,high-income,developed,non-LDC,Western Europe and Others,Corn,"220,483"
Belgium,BEL,high-income,developed,non-LDC,Western Europe and Others,Rapeseed,"265,183"
Belgium,BEL,high-income,developed,non-LDC,Western Europe and Others,Wheat,"33,000"
Bulgaria,BGR,upper-middle-income,developed,non-LDC,Eastern Europe,Sunflower meal,"50,335"
Bulgaria,BGR,upper-middle-income,developed,non-LDC,Eastern Europe,Sunflower oil,"9,701"
Bulgaria,BGR,upper-middle-income,developed,non-LDC,Eastern Europe,Sunflower pellets,"8,800"
China,CHN,upper-middle-income,developing,non-LDC,Asia-Pacific,Barley,"340,015"
China,CHN,upper-middle-income,developing,non-LDC,Asia-Pacific,Corn,"5,460,197"
China,CHN,upper-middle-income,developing,non-LDC,Asia-Pacific,Sunflower meal,"1,408,250"
China,CHN,upper-middle-income,developing,non-LDC,Asia-Pacific,Sunflower oil,"370,074"
Djibouti,DJI,lower-middle income,developing,LDC,Africa,Sunflower oil,"6,200"
Djibouti,DJI,lower-middle income,developing,LDC,Africa,Wheat,541
Egypt,EGY,lower-middle income,developing,non-LDC,Africa,Corn,"998,823"
Egypt,EGY,lower-middle income,developing,non-LDC,Africa,Soya beans,"130,590"
Egypt,EGY,lower-middle income,developing,non-LDC,Africa,Sunflower meal,"1,503"
Egypt,EGY,lower-middle income,developing,non-LDC,Africa,Sunflower oil,"3,100"
Egypt,EGY,lower-middle income,developing,non-LDC,Africa,Wheat,"354,849"
Ethiopia,ETH,low-income,developing,LDC,Africa,Wheat,"262,759"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Canola,"29,256"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Rapeseed,"107,557"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Soya beans,"28,963"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Sunflower meal,"43,652"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Sunflower oil,"9,000"
France,FRA,high-income,developed,non-LDC,Western Europe and Others,Sunflower seed,"83,940"
Georgia,GEO,upper-middle-income,developing,non-LDC,Eastern Europe,Soya beans,"6,000"
Germany,DEU,high-income,developed,non-LDC,Western Europe and Others,Corn,"252,394"
Germany,DEU,high-income,developed,non-LDC,Western Europe and Others,Rapeseed,"159,917"
Greece,GRC,high-income,developed,non-LDC,Western Europe and Others,Barley,"18,076"
Greece,GRC,high-income,developed,non-LDC,Western Europe and Others,Corn,"46,346"
Greece,GRC,high-income,developed,non-LDC,Western Europe and Others,Rapeseed,"28,000"
Greece,GRC,high-income,developed,non-LDC,Western Europe and Others,Rapeseed meal,"6,200"
Greece,GRC,high-income,developed,non-LDC,Western Europe and Others,Wheat,"57,706"
India,IND,lower-middle income,developing,non-LDC,Asia-Pacific,Sunflower oil,"542,646"
Indonesia,IDN,lower-middle income,developing,non-LDC,Asia-Pacific,Wheat,"340,907"
Iran,IRN,lower-middle income,developing,non-LDC,Asia-Pacific,Corn,"126,234"
Iraq,IRQ,upper-middle-income,developing,non-LDC,Asia-Pacific,Sunflower oil,"108,700"
Ireland,IRL,high-income,developed,non-LDC,Western Europe and Others,Corn,"60,000"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Barley,"40,300"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Corn,"668,770"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Rapeseed meal,"5,550"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Soya beans,"6,000"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Sunflower meal,"14,310"
Israel,ISR,high-income,developed,non-LDC,Western Europe and Others,Wheat,"135,682"
Italy,ITA,high-income,developed,non-LDC,Western Europe and Others,Corn,"1,356,540"
Italy,ITA,high-income,developed,non-LDC,Western Europe and Others,Rapeseed meal,"3,400"
Italy,ITA,high-income,developed,non-LDC,Western Europe and Others,Soya beans,"127,646"
Italy,ITA,high-income,developed,non-LDC,Western Europe and Others,Sunflower meal,"29,250"
