Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category,WFP
Outbound,981,SSI AVENGER,9284544,Chornomorsk,Spain,Corn,"18,137",14-Jun-2023,,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed,
Outbound +,981,SSI AVENGER,9284544,Chornomorsk,France,Soya beans,"28,963",14-Jun-2023,,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed,
Outbound,980,SANTORINI ISLAND,9393618,Chornomorsk,Italy,Corn,"45,486",14-Jun-2023,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed,
Outbound,979,EUROSTAR,9546203,Chornomorsk,China,Sunflower meal,"29,188",14-Jun-2023,,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing,
Outbound,978,DIAS,9248904,Odesa,China,Corn,"66,000",14-Jun-2023,,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing,
Outbound,977,SEA COMMANDER,9799783,Chornomorsk,Spain,Corn,"69,000",10-Jun-2023,,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed,
Outbound,976,TANG LAND,9233595,Chornomorsk,China,Corn,"65,500",9-Jun-2023,,upper-middle-income,Panama,East Asia & Pacific,Asia-Pacific,developing,
Outbound,975,LENI,9362982,Odesa,Kenya,Wheat,"51,960",8-Jun-2023,,lower-middle income,Marshall Islands,Sub-Saharan Africa,Africa,developing,
Outbound +,975,LENI,9362982,Odesa,Kenya,Corn,"8,617",8-Jun-2023,,lower-middle income,Marshall Islands,Sub-Saharan Africa,Africa,developing,
Outbound,974,MARLEN,9430179,Chornomorsk,India,Sunflower oil,"43,860",8-Jun-2023,,lower-middle income,Liberia,South Asia,Asia-Pacific,developing,
Outbound,973,EDFU,9139256,Chornomorsk,Egypt,Wheat,"63,000",8-Jun-2023,,lower-middle income,Egypt,Middle East & North Africa,Africa,developing,
Outbound,972,SUPER MARTINELLI,9542831,Odesa,Spain,Corn,"33,394",7-Jun-2023,11-Jun-2023,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed,
Outbound,971,BR VICTORY,9145956,Odesa,Egypt,Corn,"33,650",7-Jun-2023,,lower-middle income,Panama,Middle East & North Africa,Africa,developing,
Outbound +,971,BR VICTORY,9145956,Odesa,Egypt,Soya beans,"8,750",7-Jun-2023,,lower-middle income,Panama,Middle East & North Africa,Africa,developing,
Outbound,970,GARNET,9450741,Chornomorsk,Bangladesh,Wheat,"33,000",6-Jun-2023,,lower-middle income,Panama,South Asia,Asia-Pacific,developing,
Outbound,969,PHOENIX DAWN,8204731,Odesa,Türkiye,Wheat,"35,100",6-Jun-2023,11-Jun-2023,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing,
Outbound,968,NIKOLAOS S,9473315,Chornomorsk,Israel,Corn,"61,737",5-Jun-2023,13-Jun-2023,high-income,Liberia,Middle East & North Africa,Western Europe and Others,developed,
Outbound,967,NESTOR S,9473341,Chornomorsk,Israel,Corn,"64,757",5-Jun-2023,,high-income,Liberia,Middle East & North Africa,Western Europe and Others,developed,
Outbound,966,LUZON,9479008,Odesa,Bangladesh,Wheat,"53,700",5-Jun-2023,,lower-middle income,Liberia,South Asia,Asia-Pacific,developing,
Outbound,965,ATALANTIS,9002166,Odesa,Spain,Corn,"14,100",5-Jun-2023,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed,
