ID;Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement;Comment on contract
CPgZ6sbB;8;;;;99;long-term land lease of upto 99 years
YHHYw__E;11;;2005-04-26;;70;On 12 May 2006, The Cambodian Ministry approved on the submitted master plan
kF4FrvdI;12;;2008-12-08;;70;"Legal Papers and Rights for Investment Timeline (2007-2008)
1. Application for investment dated 27 November 2007 by company
2. Minute dated 25 April 2008 on study and evaluation on the land concession.
3. Letter No. 2453/238 KSK.NP.PK dated 16 May 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request land concession 7,000 hectares located in Srechis and kbal Damrey Communes, Sambo District, Kratie Province.
4. Letter No. 672 SCN dated 20 May 2008 by Council Minister.
5. Letter No. 1994/302 KSK.NP.PK dated 11 June 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 7,000 hectares.
6. Letter No. 52 SBT dated 16 June 2008 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company."
iecRI3z0;13;;2009-12-08;;70;
MCSdnge5;14;;1996-01-09;;;"Progress of Implementation after signing the contract

1. 2001 planted cashew seed 25 hectares
2. 2002 planted cashew seed 40 hectares
3. 2003 planted cashew seed 100 hectares
4. 2004 planted cashew seed 170 hectares
5. 2005 planted cashew seed 180 hectares, Mango 20 hectares and Jackfruit 20 hectares
6. 2006 planted cashew seed 180 hectares, Mango 30 hectares and Jackfruit 30 hectares"
3oogZNMa;16;;2005-05-09;;70;investment on agro-industry plantation and animal husbandry
q41-YcGk;17;;2008-01-24;;70;
TbQHDY8I;18;;2006-03-15;;70;Active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries
MvG-bP6W;20;;2009-09-25;;50;"Active Economic Land Concession by Ministry of Agriculture, Forestry and Fisheries

50 year-term plan as per https://opendevelopmentcambodia.net/profiles/economic-land-concessions?feature_id=elc_gdc_116"
z4Y2FQKS;22;;;;99;
0BVPyouc;23;;2001-04-20;2071-04-20;70;
SfXDL4XA;24;;1999-11-15;;70;On active status by Economic Land Concession by th eMinistry of Agriculture, Forestry and Fisheries.
gnuu9x3O;25;;1998-07-23;2068-07-23;70;According to this article : https://cambodia.ohchr.org/~cambodiaohchr/sites/default/files/Report%20on%20land%20concessions%20for%20economic%20purposes%20in%20Cambodia,%20human%20rights%20perspective%202004.pdf, the company' s contract will expire on July 23, 2068.
zmfcV6g4;26;;2000-10-26;;70;On active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries.
YcWDasOE;27;;2000-10-26;;70;
-cAsRRzD;28;;1999-09-13;;70;"7 year Land Utilization Plan
Year 1: 700 hectares
Year 2: 800 hectares
Year 3: 1,000 hectares 
Year 4: 1,000 hectares 
Year 5: 1,200 hectares 
Year 6: 1,200 hectares
Year 7: 1,500 hectares"
uUvJexjA;29;;2009-09-25;;70;Active status in Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries
Wh-cMLXT;30;;2000-09-26;;;
Ey8_9EDA;32;;2006-07-17;;70;
YD4nuAQ_;33;;2008-05-27;;;
rqf98ors;34;;2008-02-17;;70;
APAp-7Et;35;;2008-12-08;;70;
wz-NHfY9;36;;2009-03-18;;70;
pIfnCI-6;37;;2007-07-18;;70;
L61_5JT4;38;;2005-04-21;;70;
dYo2nCvj;39;;2009-10-12;;70;
PXO1yKMw;40;;;;99;
592pGlt9;42;;2005-05-18;;50;Active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries in 2012
3NJ9aIhU;43;;2006-03-15;;70;
6tR8hXc4;44;;1999-12-21;;70;"MAFF shows 70 year contract duration but one source shows 50 year contract

In 2010, no activity recorded
In 2012, On active Economic Land Concession by MAFF"
sq0CttxH;45;;2007-11-13;;70;On active status of Economic Land Concession by MAFF
OktwtsCM;46;;2004-03-05;2074-03-05;70;
t_f-Rjix;48;;2006-01-23;;70;
-lw7PHoc;49;;2009-12-31;;70;
E9WZOEgG;50;;2006-08-11;;70;
CxLiKye3;51;;2006-08-11;;70;
Vf5aj1Vu;52;;2006-03-15;;70;
_eJpDr9N;53;;1998-11-25;;70;Last June of 2012, the Agriculture Ministry gave the company the rights of 18,000 hectares of land for 70 years.
kLdJFmGA;54;;2001-11-23;;70;
GU-GpUnJ;55;;2006-03-17;;70;
5MrAe9EB;56;;1999-07-29;;70;
Ycgg1Q5u;57;;2009-07-31;;70;
69Np_eK0;59;;2009-07-31;;70;
owJlaVHA;62;;2006-09-29;;70;
--HH4g_r;65;;2009-07-31;;70;
6vWOG_tS;67;;2006-08-02;2076;70;
O4uz56gf;68;;2006-08-02;;90;according to the Ministry of Agriculture, Forestry and Fisheries, the contract has a duration of 70 years - the contract itself, however, stipulates 90 years
WdkX5TMb;70;;2008-12-08;;70;
IWlFImPe;71;;2000-06-07;;70;
feKi6yLq;72;;;2016-04;8;Contract ended
uEzvEfBi;73;;2008-01-24;;70;
l0ZojAMg;74;;2006-03-16;;70;
RbT05Eg9;75;;2009-07-31;;70;
XJVbIDZl;76;;2006-02-10;;70;
PxBTf5Pw;77;;2009-09-25;;70;
4urM2anW;78;;2005-11-08;;70;
zz-vK3-9;79;;2009-09-25;;70;
8lic1BUg;80;;2000-03-18;;70;
ucLI3phU;81;;1996-01-09;;70;
nlRwuPkn;82;;2006-04-04;;70;
JtgFpDNM;83;;2009-10-22;;70;
mrX4U5CT;84;;2006-08-11;;70;
2x56kvEY;85;;2000-01-08;;70;
ZLHyVj7z;88;;;;99;
m9ygmXBU;89;;2006-01-24;;70;
JhDpUsak;90;;2006-08-11;;;
WzXeP65l;92;;1999-10-15;;70;
7c7PxqA6;93;;2009-04-03;;70;
mJOrgStB;94;;2009-10-12;;70;
o8PsmlIK;95;;2008-01-24;;70;
vPfTVU6g;96;;2001-04-20;;70;
ialPuY4S;97;;2006-04-12;;70;
DtctE5mo;98;;2009-12-08;;70;
OwtpM2-X;99;;2006-04-12;;70;
_OmiUC1g;100;;;;70;
EFp-0xik;101;;2006-01-24;;70;
C2A3mJQK;102;;2005-08-08;;70;
eFbj-IiD;103;;2006-09-29;;70;
d5Zzg4fr;104;;2008-05-27;;;
pSAhBBOp;105;;2007-07-18;;70;
D53ROJhG;106;;2006-09-18;;70;MAFF granted for 70-year licenses to Tay Nam and Tay Nam BPM in July 2006, to invest in plantations of cassava, rubber, cashew and the construction of a processing factory.
ctYmP5nQ;108;;2009-09-25;;70;
eeXFbver;109;;2007-11-12;;70;
ykALkDLK;110;;2000-05-02;;70;
y9MLLQdW;111;;2002-04-23;;70;
aIzvX0fm;112;;2009-04-03;;70;
juKRnJbA;113;;2009-10-12;;70;
6SxqXSgq;114;;2004-09-29;;70;
sDf4q8Zt;116;;2005-04-21;;70;
dy7yi5NH;117;;2005-12-30;;70;
7mycf8y1;127;;2000-10-24;2070-10-24;70;
X869hJq6;128;;1998-08-23;;70;
K6FbUNTy;129;;2006-05-04;;70;"This agreement lasts seventy years starting from the signing date on-wards. The
management rights of this concession of land will be granted after this agreement takes
effect in accordance with the law in force. The renewal of the contract can only be made once the government granted an approval to the company."
vO6FoJlZ;130;;2008-07-04;;70;
LdufoJk-;135;;;;50;
wI1sDcBu;140;;;;2;Izin Lokasi (Location Permit)
2AghX1Z3;147;;2006-05-15;2036-01-01;30;
7FaWP9Nj;148;;;;30;2007-2037
YuaS_CE1;150;;2008-09-10;2067;60;
qQ7xK98u;151;;2001-07-26;;20;
T438RuxW;154;;;;30;
rOBNWJpC;156;;;;50;
BDEpXbW8;181;N0. 34/HGU/BPN/98;1998-08-29;2033-08-28;35;*In 1998, the company received its Land Use Rights (HGU) for 22,780 hectares through the decision of the Agrarian Ministry/Head of National Land Body (N0. 34/HGU/BPN/98). The company received two HGU Certificates from Buol Toli-Toli National Land Body for 16,434.388 hectares and 6,346.478 hectares for a term of 35 years which will end on August 28 2033.
9qHdC-oX;185;;;;35;
_-qMNKfY;185;;;;20;*Feb 2017: PT PLN (Persero) and PT Perkebunan Nusantara XIII (PTPN) signed a memorandum of understanding for the sale and purchase of electricity from the by-product of the Palm Oil Mill (PKS) and the construction of a gasification Biomass Power Plant (PLTBm) in West Kalimantan planned to last for 20 years.
gBnZBDgn;185;;;;;*16/2/2016: Perkebunan Nusantara XIII, Nurhidayat and Head of the West Kalimantan High Prosecutor's Office signed a joint agreement on the handling of legal problems in the civil and state administration sector to help the company save and secure all assets controlled by PTPN XIII from parties trying to take over the assets.
BdTmUbSI;188;100/2006;2006-02-25;;;PT DWK obtained Plantation Operational Licence/IUP through the Regent of Kapuas, No.100/2006, dated 25th February 2006.
do_LREqo;188;377;2006-09-09;;;PT Dwie Warna Karya (PT DWK) has obtained a licence area for oil palm plantations covering an area of 12,500 ha through the Location Permit No. 377 dated 9th September 2006 and extended with No. 772 dated 31st August 2007 located in Kapuas Hulu District, Kapuas Regency, Indonesia.
wE7mcaIo;188;772;2007-08-31;;;
4VXGi-RI;188;224/MENLHK/SETJEN/PLA.2/3/2019;2022-07-01;;;"Minister of Environment and  Forestry Decree
Republic of indonesia regarding the revocation of forest concession permits"
aFmpGTfh;196;;;;;Land has a total area of approximately 77,766 hectares, which represents Land Rights (HGU) that will expire on various dates up to year 2044. The Group’s management believed that the term of HGU can be renewed upon expiry.
CYFTRvWV;202;;;;10;
jufwftxv;212;;2008-12-30;;;
nEuEaCiH;217;;;;75;
0uzkJgh5;227;976;2011-09-27;;3;
SfFbXhbU;234;;2008-05-22;;35;
EUXClDYV;251;;2006;2046;40;"""[I]n 2006 the Kaosouyaotiang Viet-Lao Company (commonly referred to as the
Yao Tiang Company), a partnership of three Vietnamese companies, signed a 40-year agreement 
12 with the GoL to develop another 10,000 hectares of rubber plantations in Bachieng District, at
the cost of over US$35 million. "" (Champamay, 2008 as cited in Baird, 2009)"
5teJiDOk;253;;2006-02-16;2036;30;This contract can be extended by another 20 years if approved by the counterparty.
MqytBbLM;258;;2009;;;
HrlxkHRM;261;;2006-10-03;;50;concession is for 50 years
GTducwe6;268;;;;40;"As of 2013, there were  a total of 628 households involved in sugarcane contract farming
Source: FAO

The contract farming is arranged in the “2+ 3” Policy- divided benefits between villagers and investment, 2 things contributed by villagers or farm households are land and labor, while 3 things contributed by an investor or buyer are inputs, technical advice and market. 
Source: FAO"
LlUqnA6z;272;;;2049;50;MTP announces on its website that it will focus on its existing core estate of around 18,000 hectares of tropical hardwoods.​
3B6eYayv;279;;2004-06-21;;50;
2a7p-5dz;297;;2008-09;;30;Last September 2008, the Mou was signed granted to the company for 30 years duration of the project.
ou27eB_o;307;;;;99;
Cr0bQmVF;310;;;2072;;
I8Drhtds;311;;2011-06-15;;;
wO6nBHk8;313;1;2002;2058;56;This contract is for Sejap Estate.
u57Y5y_d;313;2;2002;2067;65;There are two expiry dates of the contract for Tegai Estate. The second expiry date will be in 2095.
lp9KThvK;320;;;;60;
ZKbNEEvl;324;;;;60;
sGxFa5iD;325;;;;;Various leaseholds expiring between 2047-2072
WBtTiCEq;326;;;;60;
u0xn-PSW;328;;;;60;
UdL3ttNc;329;;;;6;
7zdh1m__;329;;1996;2066;70;Acquired 3,079 ha tree plantation with land rights for 70 years (since 1996) in China via Anhui Tongling Wood Plantation Co., Ltd. (http://www.samling.com/corporate_profile.php)
VEgueSR5;330;;;;99;
0lxH66da;334;;;;1991;
USiiWWSZ;355;;;;10;
1L86ZJ6H;360;;;;;The land is being acquired on concessions, 20-30 years lease and on direct purchase basis.
XNMMSztt;412;MPSA No. 054-96-IX;1996-10-23;2021-10-23;25;
VhI8H9d7;426;;2007-01-15;;50;"The contract does not specify the amount to be invested; it’s not clear if this is a direct investment or a loan. It states that Fuhua will establish a credit platform company, which implies that participants in this project would be borrowing from Fuhua.

The 2007 Memorandum of Understanding forged among several Philippine government agencies, including the DA,  with Jilin province, China Development Bank and Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.   was suspended when a nongovernment organization questioned its legality before the Supreme Court.

The government agreed to lease land to Chinese agribusinesses in 18 different sites across the Philippines. In the landmark project, the Department of Agriculture (DA), Agrarian Reform (DAR), and Environment and Natural Resources (DENR), signed an agreement with the People's Government of Jilin, China Development Bank, and Fuhua Agricultural Science and Technology Development Co. To acquire a 50-year lease for 1 million hectares of land [52]. There were also agreements with other Chinese agricultural SOEs, private companies, and investors."
An5yb9fa;427;;2008;;25;
gbSBc2hB;433;SERVICE CONTRACT NO. 58;2006-01-12;2020-10-16;;"SERVICE CONTRACT NO. 58 – WEST CALAMIAN
Project description
DOE awarded SC 58 to PNOC EC on 12 January 2006. The SC 58 block is a deep water acreage covering an area of 13,440 km2 located in offshore Northwest Palawan, between SC 38 and SC 57. Nido Petroleum Philippine Pty Ltd. farmed-in in 2006 and acquired 50% participating interest and operatorship.

Brief Background
About 6,500 km of 2D seismic data acquired in 1978 to 1996 are available in the block. To acquire new data Nido Petroleum’s facilitated a large seismic campaign in 2006 and late 2007-early 2008 generating 3,184 km 2D and 4,953 km pseudo 3D seismic data. In 2012, additional 861 km 2D seismic data was acquired. The interpretation of the seismic data resulted in the identification of several prospects and leads. To mitigate exploration risks and identify the most attractive prospect to drill additional G&G activities were conducted such as seabed coring with multi-beam bathymetry in 2010 and the seismic inversion/ amplitude versus offset project in 2011.

In January 2015, DOE granted force majeure to SC 58’s work commitments under Subphase 3 (SP3). The suspension period is effective from 15 December 2014 until the date when DOE notifies Nido Petroleum to commence exploration activities that should be in accordance to the final resolution on the arbitration proceedings between Philippines and China. Following the lifting of the suspension of all exploration activities in the West Philippine Sea on 12 October 2020, DOE lifted the SC 58 Force Majeure effective 16 October 2020.  However, due to the Covid-19 global pandemic and current oil prices, DOE approved a 1-year Force Majeure to SC 58 from 16 October 2020 to 16 October 2021.   "
01c1sXKK;439;;;;4;
ddZbWe8_;443;;;;25;
rJzPR8oQ;450;MPSA No. 266-2008-XIIISMR;2008-07-28;2033-07-28;25;
zkmeNfGA;451;MPSA 261-2008-XIII;2008-03-10;2033;25;
Hsb45-Mt;451;MPSA 305-2009-XIII;2009-12-23;2034-12-23;25;
E98nygrQ;470;;;;10;
pO0qFTjG;478;FTAA-001;1994-06-20;2019-06-20;25;"Renewal for FTAA is still pending as on 2020.

[2021] FTAA is already finalized as per Mines and Geosciences Bureau and pending approval from the Secretary of DENR and the President."
sdCv2FNp;492;MPSA No. 220-2005-IVB;2005-12-01;2030-12-01;30;Mineral Production Sharing Agreement issued by the Department of Environment and Natural Resources.
L3-3F60e;493;;;;;The Seaweed farm is a joint venture agreement between the local government unit and the investor
UeyCgHh2;494;;2005-01-01;2019-11-30;;looking at BFAR (government) records, it seems the contract lasts for 2 years and then the company renews for another 2 years.
67FJHvLZ;495;;;;;A 5-year shoreland lease agreement can be applied for through the LLDA. For the period of 2001-2007, a total of 123 Lease Agreements have been issued by the LLDA and 495 notices of violations were served to violators of rules on shoreland set by the LLDA (2008: 4).
2sH4eMti;510;;;;5;
A4x60sYU;513;;;;5;
SHlP5-TY;519;;;;49;
sBnJHEZ0;541;;;;30;
VTdHPGGJ;542;;;;35;
2zj51BPB;543;;;;;*The group has recently signed a contract with E.C. EURO Consult to transport its paper and pulp production equipment imported from Canada. The $99.5 million contract will cover assembling design, upgrading and operating the four production lines, valued at $49 million, which the Tan Mai Group bought from a factory in Quebec.
oCCEOORP;544;14104300056 ;2008-02-21;;50;*Granted 50-years concessions in 6 provinces for a total of 349,000 ha of forest land to grow acacia and eucalyptus for their wood mills, that produce wood chips for export.
tgPDl9z-;547;;2008-07-01;;16;"*Decree No.05/2008/NĐ-CP, 14/1/2008 of the Government on forest protection and development fund
*351 PES contracts have been signed nationwide, of which 41 contracts were signed at the national level, and 310 were signed at the provincial level"
Pm_n5I0H;548;;2007-11-01;;17;
2IfsGLUV;556;;2007-01-07;;;
LN3ZJ3xo;569;;1995-01-01;;90;
nZo6GzRk;569;;2007-06-18;;5;Formal approval lasts for 5 years and can be extended
_2681GDM;590;;;;30;
RPVzbarr;614;;;;49;
x4U-M4fl;616;;2007-04-12;;;
vjkflTlz;618;;;;;Government of Punjab will provide land to establish the citrus nursery and support the establishment of greenhouses and screen-houses, Pepsi will operate the nursery.
dOAAENsi;629;;;;99;
DG2ur5GR;644;;;;20;
Jx08AtJ0;650;;;;20;
s-FTc7s7;654;;2005-10-25;;30;
5GrLiRoO;661;;;;25;
nf8GzGe0;663;;2008-03-20;;;
iWAajIJZ;665;;2009-01-15;;;
9Xls0leS;666;;2009-02-16;;;
59RLEy8v;677;;2008-01-09;;;
gCBST0Fp;686;;2006-08-21;;;
wm9JxTtL;691;;;;50;
d-dLkgTj;708;;;;4;
i2ete3Tj;719;;;;20;
1w4V2aI9;724;;;;5;
SwUHO9y2;765;;2011-09-29;2041-09-29;30;
j0Zc7y5h;768;;;;20;
tGSS5q4E;778;;;;25;
fL-f_AeC;799;;;;30;
4eb9j7-A;805;;2006-10-20;;;Contract for exploration in SIRIRI oil block. The company could exploit the field after 6 years until it is not economically anymore.
m0mqn4Vz;809;FJF-081;2004-12-28;;29;Effective contract, currently suspended. Size: 2000 has
NUXu6EM_;809;FJF-082;2004-12-28;;29;Effective contract, but not under execution. Size: 2000 has
y6Wx3zHn;809;FJF-085;2005-01-28;;29;Effective contract, but not under execution. Size: 1500 has
Mu3KiyIr;809;FJF-086;2005-01-28;;29;Effective contract, but not under execution. Size: 1500 has
miQd0i9l;809;FAE-081;2004-12-28;;29;Effective contract, but not under execution. Size: 1002 has
N2oRAj-r;809;H6196;2005-02-04;;29;Effective contract under explotation. Size: 2003 has
VmeTaBq7;809;H6197;2005-02-04;;29;Effective contract under explotation. Size: 2000has
dthRx3Cb;811;EIG 163;2006-11-02;;30;
pfeho1X3;811;GGF 151;2006-11-14;;30;
OhxrHVzN;821;;;;30;
uReRYMDH;822;;2012-07-26;;;
0fXI63az;847;;;;30;
d24WOchE;849;;;;90;
PDMXavWg;851;;;;25;
WaMG-_4U;854;;;;30;
Ewf4R-n-;865;;;;25;
woPgUzuY;883;;2011-03-25;;;
60NHjw_I;976;;;;99;
W8GSUhI1;1018;;2009-03-18;;99;
skid2BCs;1060;;2000-05-16;;35;
sNfIZTDY;1099;;2009;;50;
QK_M5HVw;1101;;;;50;
GsGa34L6;1103;;2010;;50;
TufM_urQ;1113;;2003;;99;20-year management contract signed with Sucrerie de Complant du Benin (SUCOBE)
I8aLf5dh;1120;;;;99;
h1CoMLO8;1141;;2006;;99;In 2006, the company signed a new 99-year long-term contract with the Cameroonian St
4aEoYDr9;1151;;2005;2060;55;The 2019 SOCFINAF annual report states a 55 year lease from 2005. One data source states 60 year lease. 
wZx8xzIZ;1159;;2013-11;;99;they had 2 contracts emphyteutic lease (99-year lease) contract and 3-year provisional concession in the Presidential decrees of Dec 2013
YwtVz0-w;1160;;;;25;
sh7UX4Wi;1165;;2013;2038;25;Eco-Oil Energie SA Malaysia received a 25-year concession over 50,000 hectares. Renewable contract.
