ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
gKzJEPQO;8;Country;Cambodia;12.56568,104.99096;;;
OVCnT4Xg;11;Exact location;Ou Ya Dav, Cambodia;13.66963,107.34645;;;"Ratanakiri Province, Oyadao District

Address of Local Office: # 21 B, Street 456, Sangkat Toul Tumpung, Khan Chamkarmorn, Phnom Penh, Cambodia"
_WMZ8mtn;12;Exact location;Kbal Damrey Commune, Sambo District, Kratie Province;12.86063,105.96999;;;"Location: Srechis and Kbal Damrey Communes, Sambo District, Kratie Province. Coordinates: A:641015-1409339, B:643000-1409339, C:643000-1413985, D:655000-1407000, E:641015-1407000
This company operates in Srechis and Kbal Damrey Communes, Sambo District, Kratie province"
Hhh1L73i;12;Exact location;Srechis Commune, Sambo District, Kratie Province;;;;Local Office Address: #175, Street 155, Sangkat Tuol Tum Poung I, Khan Camkar Morn, Phnom Penh
kOxBD5QK;13;Exact location;Chong Plas Commune, Koa Seimar District, Mondulkiri province;12.78794,107.10119;;;"Location: Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District, Mondulkiri Province. Coordinates: A:665075-1413404, B:674350-1420002, C:676920-1420002,
D:676920-1413451, E:673867-1407262, F:665075-1407262."
IKdPT-ni;14;Exact location;Choeng Prey District, Kompong Cham province;11.99141,105.4654;;;Location: Choeng Prey District, Kampong Cham Province. Coordinates: A:503844-1331929, B:503766-1332736, C:503577-1332731, D:503478-1333935, E:501828-1333144, F:501297-1333203, G:501029-1335048, H:501961-1335177, I:501826-13335571, J:502331-1335648, K:502385-1335246, L:502187-1335206, M:502241-1334812, N:502833-1334900, O:502752-1335499, P:502563-1335479, Q:502471-13366094, R:502509-1336098, S:502482-1336231, T:507313-1333866, U:506418-1332344, V:505454-1332165, X:505454-1332000.
YI7jmRCV;15;Country;Cambodia;12.56568,104.99096;;;No clear location
ofg-4cwC;16;Exact location;Balang, Cambodia;12.69261,104.90093;;;"Location: Balang District, Kampong Thom Province. Coordinates: A:492000-1443000, B:492000-1423000, C:491000-1423000, D:491000-1429000,
E:488000-1429000, F:488000-1432500, G:483000-1432500, H:483000-1442000,
I:488000-1440000, J:488000-1443000."
6y5Jo_7Y;17;Exact location;Kreal commune, Samrong district,Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Kreal commune, Samrong district,
Oddar Meanchey province."
Oh6vv2hQ;18;Exact location;Sambo District, Kratie, Cambodia;12.48,106.03;;;"Location: Sambo District, Kratie Province. Coordinates: A:632000-1430000, B:633000-1422000, C:651000-1422000, D:651000-1430000.
Coordinates from deleted LO deal duplicate:
12.826802035261746
106.30682264687806"
